N,cap,sol_val,op,method
12,20,2825,385,bottom-up
12,20,2825,292,top-down
12,20,2825,257,backtracking
12,20,2825,48,greedy
12,20,2825,472,brute-force
12,20,2825,49162,exhaustive-search
12,22,2026,417,bottom-up
12,22,2026,360,top-down
12,22,2026,397,backtracking
12,22,1832,51,greedy
12,22,2026,669,brute-force
12,22,2026,49159,exhaustive-search
12,24,3425,466,bottom-up
12,24,3425,307,top-down
12,24,3425,99,backtracking
12,24,3398,55,greedy
12,24,3425,655,brute-force
12,24,3425,49168,exhaustive-search
12,26,2857,490,bottom-up
12,26,2857,334,top-down
12,26,2857,141,backtracking
12,26,2857,42,greedy
12,26,2857,597,brute-force
12,26,2857,49169,exhaustive-search
12,28,2326,519,bottom-up
12,28,2326,303,top-down
12,28,2326,317,backtracking
12,28,1950,55,greedy
12,28,2326,473,brute-force
12,28,2326,49159,exhaustive-search
12,30,2849,560,bottom-up
12,30,2849,253,top-down
12,30,2849,290,backtracking
12,30,2849,45,greedy
12,30,2849,454,brute-force
12,30,2849,49163,exhaustive-search
12,32,3634,609,bottom-up
12,32,3634,397,top-down
12,32,3634,280,backtracking
12,32,3634,42,greedy
12,32,3634,735,brute-force
12,32,3634,49165,exhaustive-search
14,8,1347,191,bottom-up
14,8,1347,211,top-down
14,8,1347,180,backtracking
14,8,1347,67,greedy
14,8,1347,560,brute-force
14,8,1347,229387,exhaustive-search
14,10,2248,231,bottom-up
14,10,2248,176,top-down
14,10,2248,157,backtracking
14,10,2248,88,greedy
14,10,2248,472,brute-force
14,10,2248,229388,exhaustive-search
14,12,2444,289,bottom-up
14,12,2444,376,top-down
14,12,2444,889,backtracking
14,12,2444,59,greedy
14,12,2444,1589,brute-force
14,12,2444,229388,exhaustive-search
14,14,2732,319,bottom-up
14,14,2732,307,top-down
14,14,2732,403,backtracking
14,14,2732,74,greedy
14,14,2732,821,brute-force
14,14,2732,229387,exhaustive-search
14,16,1970,358,bottom-up
14,16,1970,394,top-down
14,16,1970,565,backtracking
14,16,1739,59,greedy
14,16,1970,1026,brute-force
14,16,1970,229390,exhaustive-search
14,18,2944,416,bottom-up
14,18,2944,454,top-down
14,18,2944,537,backtracking
14,18,2919,71,greedy
14,18,2944,943,brute-force
14,18,2944,229384,exhaustive-search
14,20,3196,452,bottom-up
14,20,3196,402,top-down
14,20,3196,584,backtracking
14,20,3196,65,greedy
14,20,3196,1078,brute-force
14,20,3196,229385,exhaustive-search
14,22,2824,510,bottom-up
14,22,2824,550,top-down
14,22,2824,604,backtracking
14,22,2776,65,greedy
14,22,2824,1929,brute-force
14,22,2824,229392,exhaustive-search
14,24,1764,517,bottom-up
14,24,1764,410,top-down
14,24,1764,492,backtracking
14,24,1605,58,greedy
14,24,1764,719,brute-force
14,24,1764,229383,exhaustive-search
14,26,3158,572,bottom-up
14,26,3158,599,top-down
14,26,3158,410,backtracking
14,26,3158,54,greedy
14,26,3158,1059,brute-force
14,26,3158,229395,exhaustive-search
14,28,3033,602,bottom-up
14,28,3033,355,top-down
14,28,3033,452,backtracking
14,28,3033,73,greedy
14,28,3033,809,brute-force
14,28,3033,229389,exhaustive-search
14,30,3018,684,bottom-up
14,30,3018,515,top-down
14,30,3018,312,backtracking
14,30,3018,84,greedy
14,30,3018,1459,brute-force
14,30,3018,229388,exhaustive-search
14,32,2183,675,bottom-up
14,32,2183,451,top-down
14,32,2183,508,backtracking
14,32,2167,64,greedy
14,32,2183,772,brute-force
14,32,2183,229388,exhaustive-search
16,8,3187,222,bottom-up
16,8,3187,287,top-down
16,8,3187,385,backtracking
16,8,3187,83,greedy
16,8,3187,1342,brute-force
16,8,3187,1048590,exhaustive-search
16,10,1778,257,bottom-up
16,10,1778,318,top-down
16,10,1778,501,backtracking
16,10,1778,85,greedy
16,10,1778,668,brute-force
16,10,1778,1048581,exhaustive-search
16,12,2260,308,bottom-up
16,12,2260,314,top-down
16,12,2260,490,backtracking
16,12,2260,70,greedy
16,12,2260,689,brute-force
16,12,2260,1048584,exhaustive-search
16,14,2141,359,bottom-up
16,14,2141,546,top-down
16,14,2141,768,backtracking
16,14,2141,72,greedy
16,14,2141,1247,brute-force
16,14,2141,1048588,exhaustive-search
16,16,2581,408,bottom-up
16,16,2581,366,top-down
16,16,2581,392,backtracking
16,16,2301,83,greedy
16,16,2581,828,brute-force
16,16,2581,1048586,exhaustive-search
16,18,3337,474,bottom-up
16,18,3337,585,top-down
16,18,3337,791,backtracking
16,18,3251,79,greedy
16,18,3337,1647,brute-force
16,18,3337,1048594,exhaustive-search
16,20,3905,527,bottom-up
16,20,3905,647,top-down
16,20,3905,1031,backtracking
16,20,3562,82,greedy
